Date,Police_ref,Easting,Northing,Veh_ref,Cas_ref,Severity,Road_cond,Visibility,Casualties,Pedestrian,Cycles,P2W,OAPs,Children,Manoeuvre,Time,Vehicles,Roadclass1,Roadnum1,Road_Type,Speed_Lim,Junct_det,Junct_ctrl,Roadclass2,Roadnum2,Cross_ctrl,Cross_fac,Weather,SpCond,Carr_haz,Day,Location,Local_Auth,ReportedAt,Parish
20170101,17146457,545741,310887,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,1,0,0,0,0,1,0. No turn,400,1,6. Unclassified,0,6. Single carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,1. Sunday,CRAB MARSH,E07000010,1. Yes,253
20170102,17146536,529059,286852,,,3. Slight,4. Frost/Ice,1. Daylight,1,0,0,0,0,0,0. No turn,1000,2,5. C,86,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,2. Monday,STOCKING FEN ROAD 460 METRES WEST OF JUNCTION WITH BODSEY TOLL ROAD,E07000011,1. Yes,184
20170102,17146662,540027,314219,,,2. Serious,4. Frost/Ice,1. Daylight,1,0,0,0,0,0,0. No turn,925,1,5. C,12,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,2. Monday,OUTSIDE PECKS FARM CROSS DROVE,E07000010,1. Yes,227
20170102,17146686,546900,290440,,,3. Slight,4. Frost/Ice,1. Daylight,1,0,0,0,0,0,0. No turn,1010,1,4. B,1093,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,2. Monday,OUTSIDE PLANTATION FARM WIMBLINGTON ROAD B1093,E07000010,1. Yes,250
20170102,17146697,529780,270124,,,3. Slight,4. Frost/Ice,4. Darkness: street lights present and lit,1,0,0,0,1,0,0. No turn,830,1,6. Unclassified,0,6. Single carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,2. Monday,38 MARSH LANE UNSPECIFIED ROAD OR LOCATION,E07000011,1. Yes,115
20170102,17151208,535709,265879,,,3. Slight,2. Wet/Damp,4. Darkness: street lights present and lit,2,0,0,0,0,1,0. No turn,1912,2,5. C,186,6. Single carriageway,60,3. T & Stag Jct,4. Give way or Uncontrolled,5. C,184,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,2. Monday,JUNCTION OF BUCKINGWAY ROAD FROM CAMBRIDGE A14 SERVICES,E07000012,1. Yes,215
20170102,17146510,545940,293325,,,3. Slight,2. Wet/Damp,6. Darkness: no street lighting,2,0,0,0,0,0,0. No turn,1805,1,4. B,1098,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,2. Monday,RAILWAY BRIDGE SIXTEEN FOOT BANK B1098,E07000010,1. Yes,250
20170103,17146747,543970,309220,,,2. Serious,4. Frost/Ice,1. Daylight,1,0,0,0,0,0,0. No turn,1239,1,6. Unclassified,0,6. Single carriageway,60,0. Not within 20m of junction,. Not applicable,. Not applicable,0,0. None,0. None within 50m,8. Other,0. None,0. None,3. Tuesday,BARTON ROAD APPROACHING GADDS LANE,E07000010,2. No - accident was reported 'over the counter',253
20170103,17147012,546213,256213,,,3. Slight,2. Wet/Damp,1. Daylight,1,0,1,0,0,0,1. Left turn,850,2,3. A,1307,6. Single carriageway,30,0. Not within 20m of junction,. Not applicable,. Not applicable,0,0. None,0. None within 50m,1. Fine without high winds,0. None,0. None,3. Tuesday,FACULTY OF EDUCATION HILLS ROAD UNSPECIFIED ROAD OR LOCATION,E07000008,2. No - accident was reported 'over the counter',37
20170103,17150321,523762,273207,,,2. Serious,2. Wet/Damp,1. Daylight,2,0,0,0,0,0,2. Right turn,912,2,5. C,115,6. Single carriageway,40,3. T & Stag Jct,2. Automatic traffic signal,6. Unclassified,0,0. None,5. Ped. phase at traffic signal junction,1. Fine without high winds,0. None,0. None,3. Tuesday,"ST PETERS ROAD T-JUNCTION WITH RED WONGS WAY, HUNTINGDON",E07000011,1. Yes,126
